Training on 285 samples. Training 20000 steps.
2019-11-09 17:32:14 step:8740  loss:0.3681
2019-11-09 17:32:32 step:8760  loss:0.2828
2019-11-09 17:32:51 step:8780  loss:0.1245
2019-11-09 17:33:10 step:8800  loss:0.2488
2019-11-09 17:33:29 step:8820  loss:0.1557
2019-11-09 17:33:48 step:8840  loss:0.2149
2019-11-09 17:34:07 step:8860  loss:0.1173
2019-11-09 17:34:26 step:8880  loss:0.1092
2019-11-09 17:34:44 step:8900  loss:0.2889
2019-11-09 17:35:03 step:8920  loss:0.1119
2019-11-09 17:35:22 step:8940  loss:0.1832
2019-11-09 17:35:41 step:8960  loss:0.2730
2019-11-09 17:36:00 step:8980  loss:0.1417
2019-11-09 17:36:18 step:9000  loss:0.1666
2019-11-09 17:36:38 step:9020  loss:0.2456
2019-11-09 17:36:57 step:9040  loss:0.2590
2019-11-09 17:37:15 step:9060  loss:0.1282
2019-11-09 17:37:34 step:9080  loss:0.2651
2019-11-09 17:37:53 step:9100  loss:0.2144
2019-11-09 17:38:11 step:9120  loss:0.2008
2019-11-09 17:38:30 step:9140  loss:0.1797
2019-11-09 17:38:49 step:9160  loss:0.1804
2019-11-09 17:39:07 step:9180  loss:0.2940
2019-11-09 17:39:26 step:9200  loss:0.3541
2019-11-09 17:39:46 step:9220  loss:0.4204
2019-11-09 17:40:04 step:9240  loss:0.1347
2019-11-09 17:40:23 step:9260  loss:0.1511
2019-11-09 17:40:42 step:9280  loss:0.3264
2019-11-09 17:41:01 step:9300  loss:0.1418
2019-11-09 17:41:20 step:9320  loss:0.4486
2019-11-09 17:41:38 step:9340  loss:0.1539
2019-11-09 17:41:57 step:9360  loss:0.3008
2019-11-09 17:42:16 step:9380  loss:0.2500
2019-11-09 17:42:35 step:9400  loss:0.1216
2019-11-09 17:42:54 step:9420  loss:0.1339
2019-11-09 17:43:13 step:9440  loss:0.1700
2019-11-09 17:43:32 step:9460  loss:0.1908
2019-11-09 17:43:50 step:9480  loss:0.2867
2019-11-09 17:44:09 step:9500  loss:0.0796
2019-11-09 17:44:28 step:9520  loss:0.1388
2019-11-09 17:44:46 step:9540  loss:0.1122
2019-11-09 17:45:05 step:9560  loss:0.1635
2019-11-09 17:45:24 step:9580  loss:0.1842
2019-11-09 17:45:43 step:9600  loss:0.1809
2019-11-09 17:46:02 step:9620  loss:0.4276
2019-11-09 17:46:21 step:9640  loss:0.0833
2019-11-09 17:46:39 step:9660  loss:0.2733
2019-11-09 17:46:58 step:9680  loss:0.0857
2019-11-09 17:47:17 step:9700  loss:0.2649
2019-11-09 17:47:36 step:9720  loss:0.1790
2019-11-09 17:47:54 step:9740  loss:0.1158
2019-11-09 17:48:13 step:9760  loss:0.2799
2019-11-09 17:48:32 step:9780  loss:0.3075
2019-11-09 17:48:51 step:9800  loss:0.1607
2019-11-09 17:49:10 step:9820  loss:0.1667
2019-11-09 17:49:29 step:9840  loss:0.2067
2019-11-09 17:49:48 step:9860  loss:0.0753
2019-11-09 17:50:06 step:9880  loss:0.1061
2019-11-09 17:50:25 step:9900  loss:0.1595
2019-11-09 17:50:44 step:9920  loss:0.1468
2019-11-09 17:51:03 step:9940  loss:0.3349
2019-11-09 17:51:21 step:9960  loss:0.1659
2019-11-09 17:51:40 step:9980  loss:0.1299
2019-11-09 17:51:59 step:10000 loss:0.1046
2019-11-09 17:52:18 step:10020 loss:0.1211
2019-11-09 17:52:37 step:10040 loss:0.1690
2019-11-09 17:52:56 step:10060 loss:0.1013
2019-11-09 17:53:15 step:10080 loss:0.2952
2019-11-09 17:53:33 step:10100 loss:0.3356
2019-11-09 17:53:52 step:10120 loss:0.1057
2019-11-09 17:54:11 step:10140 loss:0.2656
2019-11-09 17:54:30 step:10160 loss:0.3413
2019-11-09 17:54:49 step:10180 loss:0.1156
2019-11-09 17:55:07 step:10200 loss:0.3267
2019-11-09 17:55:27 step:10220 loss:0.1651
2019-11-09 17:55:46 step:10240 loss:0.1723
2019-11-09 17:56:04 step:10260 loss:0.1413
2019-11-09 17:56:23 step:10280 loss:0.1601
2019-11-09 17:56:42 step:10300 loss:0.1805
2019-11-09 17:57:00 step:10320 loss:0.2351
2019-11-09 17:57:19 step:10340 loss:0.1772
2019-11-09 17:57:38 step:10360 loss:0.1505
2019-11-09 17:57:56 step:10380 loss:0.3009
2019-11-09 17:58:15 step:10400 loss:0.2967
2019-11-09 17:58:34 step:10420 loss:0.1374
2019-11-09 17:58:53 step:10440 loss:0.1394
2019-11-09 17:59:12 step:10460 loss:0.1215
