Training on 285 samples. Training 30000 steps.
2019-11-10 18:03:50 step:1000  loss:0.2168 l_f:0.1386 loss_0:0.2452 loss_1:0.2668 
2019-11-10 18:04:18 step:1020  loss:0.3666 l_f:0.2520 loss_0:0.2932 loss_1:0.5545 
2019-11-10 18:04:46 step:1040  loss:0.1449 l_f:0.0670 loss_0:0.1084 loss_1:0.2592 
2019-11-10 18:05:13 step:1060  loss:0.4917 l_f:0.4752 loss_0:0.4684 loss_1:0.5314 
2019-11-10 18:05:40 step:1080  loss:0.2583 l_f:0.2003 loss_0:0.2597 loss_1:0.3148 
2019-11-10 18:06:08 step:1100  loss:0.2165 l_f:0.1376 loss_0:0.1690 loss_1:0.3428 
2019-11-10 18:06:35 step:1120  loss:0.4719 l_f:0.4337 loss_0:0.5427 loss_1:0.4393 
2019-11-10 18:07:02 step:1140  loss:0.1071 l_f:0.0802 loss_0:0.0943 loss_1:0.1468 
2019-11-10 18:07:30 step:1160  loss:0.1605 l_f:0.1287 loss_0:0.1398 loss_1:0.2130 
2019-11-10 18:07:57 step:1180  loss:0.1295 l_f:0.0735 loss_0:0.0985 loss_1:0.2163 
2019-11-10 18:08:24 step:1200  loss:0.2450 l_f:0.1913 loss_0:0.2456 loss_1:0.2982 
2019-11-10 18:08:52 step:1220  loss:0.2867 l_f:0.2180 loss_0:0.2810 loss_1:0.3611 
2019-11-10 18:09:19 step:1240  loss:0.1804 l_f:0.0989 loss_0:0.1356 loss_1:0.3066 
2019-11-10 18:09:47 step:1260  loss:0.2575 l_f:0.2021 loss_0:0.2705 loss_1:0.2998 
2019-11-10 18:10:14 step:1280  loss:0.1522 l_f:0.1137 loss_0:0.1199 loss_1:0.2230 
2019-11-10 18:10:41 step:1300  loss:0.1202 l_f:0.0772 loss_0:0.1107 loss_1:0.1727 
2019-11-10 18:11:09 step:1320  loss:0.2909 l_f:0.1990 loss_0:0.2429 loss_1:0.4307 
2019-11-10 18:11:36 step:1340  loss:0.1165 l_f:0.0764 loss_0:0.1075 loss_1:0.1656 
2019-11-10 18:12:04 step:1360  loss:0.1934 l_f:0.1508 loss_0:0.2080 loss_1:0.2214 
2019-11-10 18:12:31 step:1380  loss:0.2499 l_f:0.1818 loss_0:0.2455 loss_1:0.3225 
2019-11-10 18:12:58 step:1400  loss:0.2836 l_f:0.2057 loss_0:0.2951 loss_1:0.3499 
2019-11-10 18:13:26 step:1420  loss:0.2457 l_f:0.1916 loss_0:0.2488 loss_1:0.2968 
2019-11-10 18:13:54 step:1440  loss:0.4542 l_f:0.4376 loss_0:0.4685 loss_1:0.4564 
2019-11-10 18:14:21 step:1460  loss:0.2004 l_f:0.1559 loss_0:0.1675 loss_1:0.2779 
2019-11-10 18:14:48 step:1480  loss:0.2762 l_f:0.2203 loss_0:0.2338 loss_1:0.3745 
2019-11-10 18:15:15 step:1500  loss:0.3378 l_f:0.2730 loss_0:0.3571 loss_1:0.3832 
2019-11-10 18:15:43 step:1520  loss:0.3389 l_f:0.2487 loss_0:0.3177 loss_1:0.4503 
2019-11-10 18:16:10 step:1540  loss:0.3412 l_f:0.2623 loss_0:0.2349 loss_1:0.5265 
2019-11-10 18:16:37 step:1560  loss:0.1481 l_f:0.1140 loss_0:0.1437 loss_1:0.1866 
2019-11-10 18:17:04 step:1580  loss:0.1548 l_f:0.0856 loss_0:0.1361 loss_1:0.2426 
2019-11-10 18:17:32 step:1600  loss:0.2544 l_f:0.2071 loss_0:0.2315 loss_1:0.3246 
2019-11-10 18:17:59 step:1620  loss:0.2991 l_f:0.2277 loss_0:0.2658 loss_1:0.4040 
2019-11-10 18:18:26 step:1640  loss:0.2071 l_f:0.1661 loss_0:0.1969 loss_1:0.2582 
2019-11-10 18:18:54 step:1660  loss:0.2147 l_f:0.1478 loss_0:0.1941 loss_1:0.3023 
2019-11-10 18:19:21 step:1680  loss:0.2020 l_f:0.1282 loss_0:0.2176 loss_1:0.2602 
2019-11-10 18:19:48 step:1700  loss:0.1888 l_f:0.1341 loss_0:0.1693 loss_1:0.2630 
2019-11-10 18:20:16 step:1720  loss:0.1981 l_f:0.1453 loss_0:0.1822 loss_1:0.2667 
2019-11-10 18:20:43 step:1740  loss:0.1743 l_f:0.1351 loss_0:0.1639 loss_1:0.2241 
2019-11-10 18:21:10 step:1760  loss:0.2613 l_f:0.1987 loss_0:0.2278 loss_1:0.3575 
2019-11-10 18:21:37 step:1780  loss:0.4928 l_f:0.4627 loss_0:0.5051 loss_1:0.5106 
2019-11-10 18:22:05 step:1800  loss:0.1597 l_f:0.1013 loss_0:0.1336 loss_1:0.2443 
2019-11-10 18:22:32 step:1820  loss:0.1787 l_f:0.1083 loss_0:0.1405 loss_1:0.2874 
2019-11-10 18:23:00 step:1840  loss:0.2833 l_f:0.1694 loss_0:0.2587 loss_1:0.4219 
2019-11-10 18:23:27 step:1860  loss:0.1931 l_f:0.1325 loss_0:0.1597 loss_1:0.2872 
2019-11-10 18:23:55 step:1880  loss:0.2076 l_f:0.1357 loss_0:0.1840 loss_1:0.3031 
2019-11-10 18:24:22 step:1900  loss:0.1249 l_f:0.0783 loss_0:0.1004 loss_1:0.1960 
2019-11-10 18:24:49 step:1920  loss:0.1063 l_f:0.0784 loss_0:0.1103 loss_1:0.1301 
2019-11-10 18:25:17 step:1940  loss:0.3129 l_f:0.2263 loss_0:0.2429 loss_1:0.4694 
2019-11-10 18:25:44 step:1960  loss:0.1533 l_f:0.0934 loss_0:0.1384 loss_1:0.2280 
2019-11-10 18:26:11 step:1980  loss:0.1414 l_f:0.0784 loss_0:0.1024 loss_1:0.2434 
2019-11-10 18:26:39 step:2000  loss:0.1529 l_f:0.0733 loss_0:0.1000 loss_1:0.2854 
2019-11-10 18:27:07 step:2020  loss:0.2135 l_f:0.1396 loss_0:0.1565 loss_1:0.3443 
2019-11-10 18:27:34 step:2040  loss:0.2847 l_f:0.1501 loss_0:0.1754 loss_1:0.5288 
2019-11-10 18:28:01 step:2060  loss:0.1781 l_f:0.1227 loss_0:0.1674 loss_1:0.2442 
2019-11-10 18:28:29 step:2080  loss:0.1307 l_f:0.0993 loss_0:0.1090 loss_1:0.1839 
2019-11-10 18:28:56 step:2100  loss:0.1612 l_f:0.1237 loss_0:0.1491 loss_1:0.2108 
2019-11-10 18:29:24 step:2120  loss:0.1989 l_f:0.1518 loss_0:0.1882 loss_1:0.2566 
2019-11-10 18:29:51 step:2140  loss:0.1861 l_f:0.1264 loss_0:0.1791 loss_1:0.2527 
2019-11-10 18:30:18 step:2160  loss:0.3119 l_f:0.2183 loss_0:0.2933 loss_1:0.4241 
2019-11-10 18:30:46 step:2180  loss:0.2606 l_f:0.2120 loss_0:0.2481 loss_1:0.3216 
2019-11-10 18:31:13 step:2200  loss:0.3395 l_f:0.2772 loss_0:0.2934 loss_1:0.4478 
2019-11-10 18:31:41 step:2220  loss:0.2121 l_f:0.1264 loss_0:0.1721 loss_1:0.3377 
2019-11-10 18:32:08 step:2240  loss:0.1414 l_f:0.1068 loss_0:0.1357 loss_1:0.1816 
2019-11-10 18:32:35 step:2260  loss:0.2351 l_f:0.1855 loss_0:0.2187 loss_1:0.3012 
2019-11-10 18:33:03 step:2280  loss:0.4320 l_f:0.3935 loss_0:0.4682 loss_1:0.4344 
2019-11-10 18:33:30 step:2300  loss:0.1122 l_f:0.0707 loss_0:0.0873 loss_1:0.1785 
2019-11-10 18:33:57 step:2320  loss:0.2344 l_f:0.1607 loss_0:0.2323 loss_1:0.3103 
2019-11-10 18:34:24 step:2340  loss:0.1234 l_f:0.0689 loss_0:0.0976 loss_1:0.2038 
2019-11-10 18:34:52 step:2360  loss:0.2408 l_f:0.1658 loss_0:0.1873 loss_1:0.3693 
2019-11-10 18:35:19 step:2380  loss:0.3605 l_f:0.2367 loss_0:0.3155 loss_1:0.5294 
2019-11-10 18:35:46 step:2400  loss:0.1416 l_f:0.0902 loss_0:0.1547 loss_1:0.1799 
2019-11-10 18:36:14 step:2420  loss:0.1443 l_f:0.1097 loss_0:0.1669 loss_1:0.1561 
2019-11-10 18:36:41 step:2440  loss:0.2708 l_f:0.1803 loss_0:0.2329 loss_1:0.3993 
2019-11-10 18:37:09 step:2460  loss:0.2576 l_f:0.2023 loss_0:0.2543 loss_1:0.3163 
2019-11-10 18:37:36 step:2480  loss:0.2581 l_f:0.2014 loss_0:0.2244 loss_1:0.3484 
2019-11-10 18:38:03 step:2500  loss:0.1837 l_f:0.1374 loss_0:0.1688 loss_1:0.2448 
2019-11-10 18:38:31 step:2520  loss:0.2690 l_f:0.1920 loss_0:0.2430 loss_1:0.3720 
2019-11-10 18:38:58 step:2540  loss:0.1436 l_f:0.1155 loss_0:0.1426 loss_1:0.1727 
2019-11-10 18:39:26 step:2560  loss:0.2413 l_f:0.1648 loss_0:0.1998 loss_1:0.3593 
2019-11-10 18:39:53 step:2580  loss:0.2638 l_f:0.1661 loss_0:0.2077 loss_1:0.4177 
2019-11-10 18:40:20 step:2600  loss:0.1388 l_f:0.0786 loss_0:0.1300 loss_1:0.2079 
2019-11-10 18:40:48 step:2620  loss:0.2625 l_f:0.1649 loss_0:0.2382 loss_1:0.3845 
2019-11-10 18:41:16 step:2640  loss:0.1504 l_f:0.0864 loss_0:0.1235 loss_1:0.2412 
2019-11-10 18:41:43 step:2660  loss:0.2459 l_f:0.1577 loss_0:0.2594 loss_1:0.3205 
2019-11-10 18:42:10 step:2680  loss:0.2569 l_f:0.2065 loss_0:0.2717 loss_1:0.2925 
2019-11-10 18:42:37 step:2700  loss:0.1620 l_f:0.0894 loss_0:0.1571 loss_1:0.2395 
2019-11-10 18:43:05 step:2720  loss:0.2340 l_f:0.1766 loss_0:0.2279 loss_1:0.2977 
2019-11-10 18:43:32 step:2740  loss:0.1833 l_f:0.1339 loss_0:0.1745 loss_1:0.2416 
2019-11-10 18:44:00 step:2760  loss:0.1966 l_f:0.1225 loss_0:0.1690 loss_1:0.2984 
2019-11-10 18:44:27 step:2780  loss:0.1131 l_f:0.0667 loss_0:0.1000 loss_1:0.1724 
2019-11-10 18:44:54 step:2800  loss:0.1981 l_f:0.1378 loss_0:0.1832 loss_1:0.2732 
2019-11-10 18:45:22 step:2820  loss:0.1815 l_f:0.1038 loss_0:0.2286 loss_1:0.2121 
2019-11-10 18:45:50 step:2840  loss:0.2396 l_f:0.1841 loss_0:0.2495 loss_1:0.2853 
2019-11-10 18:46:17 step:2860  loss:0.2140 l_f:0.1315 loss_0:0.2343 loss_1:0.2762 
2019-11-10 18:46:44 step:2880  loss:0.3080 l_f:0.1569 loss_0:0.2871 loss_1:0.4801 
2019-11-10 18:47:12 step:2900  loss:0.4811 l_f:0.4352 loss_0:0.5470 loss_1:0.4611 
2019-11-10 18:47:39 step:2920  loss:0.4347 l_f:0.4198 loss_0:0.4621 loss_1:0.4221 
2019-11-10 18:48:06 step:2940  loss:0.2763 l_f:0.1662 loss_0:0.2480 loss_1:0.4147 
2019-11-10 18:48:34 step:2960  loss:0.5770 l_f:0.5376 loss_0:0.5893 loss_1:0.6041 
2019-11-10 18:49:01 step:2980  loss:0.1942 l_f:0.1347 loss_0:0.1712 loss_1:0.2766 
2019-11-10 18:49:29 step:3000  loss:0.4473 l_f:0.4296 loss_0:0.4467 loss_1:0.4656 
2019-11-10 18:49:57 step:3020  loss:0.3203 l_f:0.2625 loss_0:0.2874 loss_1:0.4109 
2019-11-10 18:50:24 step:3040  loss:0.2347 l_f:0.1676 loss_0:0.2143 loss_1:0.3222 
2019-11-10 18:50:51 step:3060  loss:0.1769 l_f:0.1370 loss_0:0.1555 loss_1:0.2382 
2019-11-10 18:51:19 step:3080  loss:0.1611 l_f:0.0818 loss_0:0.1113 loss_1:0.2902 
2019-11-10 18:51:46 step:3100  loss:0.2410 l_f:0.2068 loss_0:0.2206 loss_1:0.2955 
2019-11-10 18:52:14 step:3120  loss:0.3255 l_f:0.2333 loss_0:0.2600 loss_1:0.4832 
2019-11-10 18:52:41 step:3140  loss:0.1624 l_f:0.1222 loss_0:0.1330 loss_1:0.2321 
2019-11-10 18:53:08 step:3160  loss:0.2608 l_f:0.2147 loss_0:0.2711 loss_1:0.2966 
2019-11-10 18:53:36 step:3180  loss:0.1940 l_f:0.1062 loss_0:0.1633 loss_1:0.3126 
2019-11-10 18:54:03 step:3200  loss:0.1765 l_f:0.1251 loss_0:0.1644 loss_1:0.2401 
2019-11-10 18:54:31 step:3220  loss:0.2937 l_f:0.2086 loss_0:0.2706 loss_1:0.4019 
2019-11-10 18:54:59 step:3240  loss:0.1148 l_f:0.0784 loss_0:0.0900 loss_1:0.1759 
2019-11-10 18:55:26 step:3260  loss:0.1435 l_f:0.0898 loss_0:0.1436 loss_1:0.1970 
2019-11-10 18:55:54 step:3280  loss:0.3212 l_f:0.2418 loss_0:0.3253 loss_1:0.3965 
2019-11-10 18:56:21 step:3300  loss:0.2820 l_f:0.2185 loss_0:0.3093 loss_1:0.3181 
2019-11-10 18:56:49 step:3320  loss:0.1514 l_f:0.1156 loss_0:0.1307 loss_1:0.2080 
2019-11-10 18:57:16 step:3340  loss:0.1440 l_f:0.0650 loss_0:0.0792 loss_1:0.2877 
2019-11-10 18:57:43 step:3360  loss:0.1000 l_f:0.0618 loss_0:0.0892 loss_1:0.1492 
2019-11-10 18:58:11 step:3380  loss:0.1574 l_f:0.1040 loss_0:0.1292 loss_1:0.2390 
2019-11-10 18:58:38 step:3400  loss:0.1831 l_f:0.1317 loss_0:0.1429 loss_1:0.2746 
2019-11-10 18:59:06 step:3420  loss:0.1924 l_f:0.1285 loss_0:0.2125 loss_1:0.2363 
2019-11-10 18:59:33 step:3440  loss:0.3060 l_f:0.2371 loss_0:0.2501 loss_1:0.4309 
2019-11-10 19:00:00 step:3460  loss:0.1782 l_f:0.1110 loss_0:0.1491 loss_1:0.2744 
2019-11-10 19:00:28 step:3480  loss:0.1450 l_f:0.0807 loss_0:0.1196 loss_1:0.2346 
2019-11-10 19:00:55 step:3500  loss:0.2356 l_f:0.1565 loss_0:0.1877 loss_1:0.3625 
2019-11-10 19:01:22 step:3520  loss:0.1898 l_f:0.1315 loss_0:0.1720 loss_1:0.2659 
2019-11-10 19:01:49 step:3540  loss:0.1395 l_f:0.1026 loss_0:0.1325 loss_1:0.1833 
2019-11-10 19:02:17 step:3560  loss:0.2450 l_f:0.1867 loss_0:0.2378 loss_1:0.3104 
2019-11-10 19:02:44 step:3580  loss:0.1792 l_f:0.1186 loss_0:0.1522 loss_1:0.2667 
2019-11-10 19:03:11 step:3600  loss:0.1901 l_f:0.1229 loss_0:0.2184 loss_1:0.2290 
2019-11-10 19:03:39 step:3620  loss:0.4406 l_f:0.4125 loss_0:0.4976 loss_1:0.4117 
2019-11-10 19:04:07 step:3640  loss:0.2179 l_f:0.1667 loss_0:0.1977 loss_1:0.2894 
2019-11-10 19:04:34 step:3660  loss:0.2740 l_f:0.1762 loss_0:0.2035 loss_1:0.4424 
2019-11-10 19:05:02 step:3680  loss:0.1209 l_f:0.0798 loss_0:0.1408 loss_1:0.1421 
2019-11-10 19:05:29 step:3700  loss:0.1453 l_f:0.0987 loss_0:0.1442 loss_1:0.1930 
2019-11-10 19:05:56 step:3720  loss:0.1328 l_f:0.0991 loss_0:0.1159 loss_1:0.1834 
2019-11-10 19:06:24 step:3740  loss:0.1803 l_f:0.1185 loss_0:0.1528 loss_1:0.2695 
2019-11-10 19:06:51 step:3760  loss:0.1382 l_f:0.0922 loss_0:0.1213 loss_1:0.2012 
2019-11-10 19:07:19 step:3780  loss:0.2293 l_f:0.1489 loss_0:0.1854 loss_1:0.3537 
2019-11-10 19:07:46 step:3800  loss:0.2080 l_f:0.1521 loss_0:0.1705 loss_1:0.3015 
2019-11-10 19:08:14 step:3820  loss:0.2034 l_f:0.1642 loss_0:0.1671 loss_1:0.2788 
2019-11-10 19:08:42 step:3840  loss:0.4132 l_f:0.3961 loss_0:0.4203 loss_1:0.4232 
2019-11-10 19:09:09 step:3860  loss:0.2307 l_f:0.1560 loss_0:0.2370 loss_1:0.2991 
2019-11-10 19:09:36 step:3880  loss:0.1432 l_f:0.0946 loss_0:0.1186 loss_1:0.2164 
2019-11-10 19:10:04 step:3900  loss:0.1612 l_f:0.1313 loss_0:0.1562 loss_1:0.1960 
2019-11-10 19:10:31 step:3920  loss:0.1375 l_f:0.0868 loss_0:0.1370 loss_1:0.1887 
2019-11-10 19:10:58 step:3940  loss:0.1760 l_f:0.1222 loss_0:0.1515 loss_1:0.2541 
2019-11-10 19:11:26 step:3960  loss:0.1627 l_f:0.1282 loss_0:0.1476 loss_1:0.2122 
2019-11-10 19:11:53 step:3980  loss:0.2903 l_f:0.2137 loss_0:0.2555 loss_1:0.4017 
2019-11-10 19:12:20 step:4000  loss:0.1353 l_f:0.1084 loss_0:0.1359 loss_1:0.1617 
2019-11-10 19:12:48 step:4020  loss:0.1957 l_f:0.1462 loss_0:0.1839 loss_1:0.2569 
2019-11-10 19:13:15 step:4040  loss:0.1500 l_f:0.1061 loss_0:0.1160 loss_1:0.2279 
2019-11-10 19:13:43 step:4060  loss:0.1712 l_f:0.1260 loss_0:0.1639 loss_1:0.2238 
2019-11-10 19:14:10 step:4080  loss:0.1664 l_f:0.1185 loss_0:0.1291 loss_1:0.2515 
2019-11-10 19:14:37 step:4100  loss:0.2811 l_f:0.1929 loss_0:0.2340 loss_1:0.4163 
2019-11-10 19:15:05 step:4120  loss:0.1364 l_f:0.0772 loss_0:0.1112 loss_1:0.2208 
2019-11-10 19:15:32 step:4140  loss:0.2089 l_f:0.1822 loss_0:0.2120 loss_1:0.2326 
2019-11-10 19:15:59 step:4160  loss:0.2695 l_f:0.2047 loss_0:0.2293 loss_1:0.3746 
2019-11-10 19:16:26 step:4180  loss:0.1188 l_f:0.0717 loss_0:0.1207 loss_1:0.1641 
2019-11-10 19:16:53 step:4200  loss:0.2339 l_f:0.1594 loss_0:0.1942 loss_1:0.3481 
2019-11-10 19:17:21 step:4220  loss:0.1143 l_f:0.0722 loss_0:0.1090 loss_1:0.1615 
2019-11-10 19:17:49 step:4240  loss:0.2650 l_f:0.1874 loss_0:0.2593 loss_1:0.3483 
2019-11-10 19:18:16 step:4260  loss:0.2118 l_f:0.1713 loss_0:0.1933 loss_1:0.2707 
2019-11-10 19:18:43 step:4280  loss:0.2653 l_f:0.1706 loss_0:0.2405 loss_1:0.3848 
2019-11-10 19:19:11 step:4300  loss:0.3570 l_f:0.2918 loss_0:0.3175 loss_1:0.4616 
2019-11-10 19:19:38 step:4320  loss:0.3187 l_f:0.1895 loss_0:0.2288 loss_1:0.5379 
2019-11-10 19:20:06 step:4340  loss:0.1563 l_f:0.1196 loss_0:0.1515 loss_1:0.1980 
2019-11-10 19:20:33 step:4360  loss:0.2022 l_f:0.1518 loss_0:0.2037 loss_1:0.2511 
2019-11-10 19:21:00 step:4380  loss:0.1868 l_f:0.1693 loss_0:0.2078 loss_1:0.1832 
2019-11-10 19:21:27 step:4400  loss:0.4152 l_f:0.4023 loss_0:0.4233 loss_1:0.4198 
2019-11-10 19:21:55 step:4420  loss:0.3157 l_f:0.2401 loss_0:0.2594 loss_1:0.4474 
2019-11-10 19:22:23 step:4440  loss:0.1222 l_f:0.0645 loss_0:0.0990 loss_1:0.2030 
2019-11-10 19:22:50 step:4460  loss:0.2463 l_f:0.1810 loss_0:0.1869 loss_1:0.3708 
2019-11-10 19:23:17 step:4480  loss:0.1684 l_f:0.1549 loss_0:0.1655 loss_1:0.1848 
2019-11-10 19:23:45 step:4500  loss:0.3002 l_f:0.2295 loss_0:0.2781 loss_1:0.3931 
2019-11-10 19:24:12 step:4520  loss:0.0789 l_f:0.0445 loss_0:0.0842 loss_1:0.1081 
2019-11-10 19:24:39 step:4540  loss:0.2854 l_f:0.2102 loss_0:0.2374 loss_1:0.4088 
2019-11-10 19:25:07 step:4560  loss:0.4087 l_f:0.3896 loss_0:0.4300 loss_1:0.4064 
2019-11-10 19:25:34 step:4580  loss:0.1791 l_f:0.1608 loss_0:0.1766 loss_1:0.2000 
2019-11-10 19:26:01 step:4600  loss:0.2079 l_f:0.1180 loss_0:0.1670 loss_1:0.3387 
2019-11-10 19:26:29 step:4620  loss:0.3060 l_f:0.2443 loss_0:0.2779 loss_1:0.3959 
2019-11-10 19:26:56 step:4640  loss:0.5266 l_f:0.5096 loss_0:0.5287 loss_1:0.5414 
