Training on 285 samples. Training 30000 steps.
2019-07-21 12:17:21 step:960   loss:0.7661 l_f:0.7308 loss_0:0.8471 loss_1:0.7203 
2019-07-21 12:17:48 step:980   loss:0.7065 l_f:0.5375 loss_0:0.8551 loss_1:0.7268 
2019-07-21 12:18:15 step:1000  loss:0.6971 l_f:0.5084 loss_0:0.8461 loss_1:0.7370 
2019-07-21 12:18:42 step:1020  loss:0.6796 l_f:0.5114 loss_0:0.8264 loss_1:0.7011 
2019-07-21 12:19:09 step:1040  loss:0.7219 l_f:0.5365 loss_0:0.8678 loss_1:0.7613 
2019-07-21 12:19:37 step:1060  loss:0.7536 l_f:0.5611 loss_0:0.9223 loss_1:0.7776 
2019-07-21 12:20:04 step:1080  loss:0.6810 l_f:0.6162 loss_0:0.7290 loss_1:0.6979 
2019-07-21 12:20:31 step:1100  loss:0.7288 l_f:0.5312 loss_0:0.8615 loss_1:0.7937 
2019-07-21 12:20:58 step:1120  loss:0.7936 l_f:0.6951 loss_0:0.9192 loss_1:0.7664 
2019-07-21 12:21:25 step:1140  loss:0.6619 l_f:0.4774 loss_0:0.7951 loss_1:0.7133 
2019-07-21 12:21:52 step:1160  loss:0.7113 l_f:0.5999 loss_0:0.7947 loss_1:0.7395 
2019-07-21 12:22:19 step:1180  loss:0.6223 l_f:0.4590 loss_0:0.7347 loss_1:0.6731 
2019-07-21 12:22:46 step:1200  loss:0.7309 l_f:0.5482 loss_0:0.8434 loss_1:0.8010 
2019-07-21 12:23:14 step:1220  loss:0.6228 l_f:0.4473 loss_0:0.7524 loss_1:0.6686 
2019-07-21 12:23:42 step:1240  loss:0.7772 l_f:0.7348 loss_0:0.8778 loss_1:0.7191 
2019-07-21 12:24:09 step:1260  loss:0.6652 l_f:0.4736 loss_0:0.7951 loss_1:0.7270 
2019-07-21 12:24:36 step:1280  loss:0.7866 l_f:0.7683 loss_0:0.8301 loss_1:0.7613 
2019-07-21 12:25:04 step:1300  loss:0.7732 l_f:0.7272 loss_0:0.8438 loss_1:0.7485 
2019-07-21 12:25:31 step:1320  loss:0.9363 l_f:0.9459 loss_0:0.9292 loss_1:0.9339 
2019-07-21 12:25:59 step:1340  loss:0.9959 l_f:0.9976 loss_0:0.9938 loss_1:0.9963 
2019-07-21 12:26:26 step:1360  loss:0.6949 l_f:0.6267 loss_0:0.6741 loss_1:0.7840 
2019-07-21 12:26:53 step:1380  loss:0.7292 l_f:0.6126 loss_0:0.7731 loss_1:0.8020 
2019-07-21 12:27:20 step:1400  loss:0.7172 l_f:0.5985 loss_0:0.8169 loss_1:0.7360 
2019-07-21 12:27:48 step:1420  loss:0.5888 l_f:0.4422 loss_0:0.6510 loss_1:0.6731 
2019-07-21 12:28:15 step:1440  loss:0.7049 l_f:0.6961 loss_0:0.7314 loss_1:0.6873 
